interaction_id,customer_id,date,channel,touchpoint,product,region,csat_score,resolution_time_hrs,resolution_status,first_contact_resolution,effort_score,sentiment,age_group,tenure_months
INT002771,CX03252,2026-03-20,Mobile App,Purchase,Enterprise Plan,Asia Pacific,4.67,0.17,Escalated,1,3.4,Positive,36-45,49
INT002772,CX04606,2026-05-07,In-Store,Complaint,Basic Plan,Asia Pacific,2.06,0.22,Resolved,0,3.3,Neutral,46-55,9
INT002773,CX00425,2025-11-15,Mobile App,Feedback,Enterprise Plan,Europe,3.28,0.1,Resolved,1,3.1,Positive,36-45,50
INT002774,CX00814,2025-09-24,Phone,Onboarding,Basic Plan,North America,4.71,0.43,Resolved,1,3.1,Negative,46-55,31
INT002775,CX00692,2025-11-18,Email,Purchase,Add-on Services,Asia Pacific,4.54,1.68,Pending,1,1.2,Neutral,46-55,45
INT002776,CX01687,2026-04-10,Phone,Renewal,Add-on Services,Europe,3.08,0.49,Pending,1,3.6,Positive,18-25,25
INT002777,CX03907,2026-05-01,Live Chat,Renewal,Add-on Services,Latin America,3.12,0.21,Escalated,0,1.5,Neutral,36-45,6
INT002778,CX04138,2025-10-01,Email,Support,Add-on Services,North America,2.54,2.1,Resolved,1,2.8,Positive,18-25,32
INT002779,CX00334,2025-12-03,Email,Onboarding,Basic Plan,North America,4.04,1.06,Resolved,1,4.5,Neutral,46-55,35
INT002780,CX00792,2025-11-29,Live Chat,Onboarding,Pro Plan,North America,4.66,0.14,Pending,0,4.0,Positive,46-55,31
INT002781,CX04584,2026-05-20,Live Chat,Onboarding,Pro Plan,Europe,3.92,0.23,Resolved,0,1.2,Positive,36-45,32
INT002782,CX04478,2025-10-09,Live Chat,Support,Add-on Services,Europe,4.1,0.13,Resolved,1,3.6,Negative,18-25,15
INT002783,CX02640,2025-09-01,Email,Onboarding,Enterprise Plan,Asia Pacific,3.98,3.95,Resolved,1,4.7,Negative,26-35,31
INT002784,CX00879,2025-10-07,Phone,Onboarding,Add-on Services,Europe,4.93,0.28,Resolved,0,3.1,Negative,36-45,16
INT002785,CX03374,2025-06-25,Live Chat,Complaint,Add-on Services,North America,1.58,0.21,Resolved,1,4.2,Neutral,36-45,54
INT002786,CX01452,2025-06-02,Email,Feedback,Add-on Services,Asia Pacific,4.66,4.3,Escalated,1,1.5,Negative,36-45,44
INT002787,CX01601,2026-01-15,Live Chat,Feedback,Pro Plan,Europe,4.65,0.22,Resolved,1,5.0,Neutral,26-35,10
INT002788,CX01566,2025-06-08,Website,Renewal,Basic Plan,Asia Pacific,3.32,0.17,Escalated,1,1.7,Negative,26-35,8
INT002789,CX00110,2026-05-16,Phone,Purchase,Basic Plan,Europe,4.6,0.32,Resolved,1,3.9,Negative,36-45,4
INT002790,CX01464,2025-10-23,Mobile App,Support,Basic Plan,Latin America,4.26,0.18,Resolved,0,1.7,Positive,18-25,27
INT002791,CX04269,2026-04-28,Phone,Complaint,Add-on Services,Europe,2.68,0.27,Resolved,1,2.8,Negative,55+,43
INT002792,CX02761,2025-06-10,Email,Support,Pro Plan,Europe,4.23,1.66,Escalated,0,2.9,Positive,36-45,14
INT002793,CX01099,2025-11-04,In-Store,Complaint,Add-on Services,North America,2.49,0.59,Resolved,0,1.2,Neutral,55+,22
INT002794,CX01072,2026-03-22,In-Store,Complaint,Add-on Services,Asia Pacific,2.44,0.6,Resolved,1,1.1,Positive,55+,45
INT002795,CX04187,2026-03-30,Phone,Feedback,Add-on Services,Latin America,3.17,0.33,Resolved,1,2.3,Neutral,18-25,52
INT002796,CX04311,2026-03-27,Phone,Purchase,Enterprise Plan,Europe,3.85,0.28,Escalated,0,3.8,Positive,55+,41
INT002797,CX04623,2026-01-15,Live Chat,Renewal,Add-on Services,Asia Pacific,3.78,0.23,Escalated,1,4.9,Positive,18-25,23
INT002798,CX01342,2025-06-16,Mobile App,Support,Add-on Services,Latin America,2.6,0.13,Escalated,1,4.1,Positive,18-25,36
INT002799,CX02602,2026-03-02,Mobile App,Support,Basic Plan,Europe,2.79,0.14,Pending,1,4.7,Negative,36-45,38
INT002800,CX01914,2025-10-31,Live Chat,Support,Pro Plan,Latin America,3.23,0.16,Resolved,0,2.1,Neutral,46-55,26
INT002801,CX02948,2026-02-05,Mobile App,Purchase,Basic Plan,Europe,3.56,0.09,Escalated,1,4.3,Negative,46-55,35
INT002802,CX02060,2025-11-25,In-Store,Purchase,Add-on Services,Asia Pacific,3.98,0.37,Pending,1,4.0,Neutral,18-25,42
INT002803,CX00961,2025-10-15,Email,Renewal,Basic Plan,Asia Pacific,3.43,4.04,Escalated,1,4.8,Negative,18-25,30
INT002804,CX02178,2025-12-16,Mobile App,Onboarding,Pro Plan,Asia Pacific,4.11,0.07,Resolved,1,2.9,Neutral,55+,15
INT002805,CX04531,2025-06-09,Mobile App,Complaint,Add-on Services,Asia Pacific,2.07,0.17,Escalated,0,1.6,Neutral,36-45,59
INT002806,CX01633,2025-07-22,In-Store,Support,Add-on Services,Europe,3.63,0.18,Resolved,1,2.0,Neutral,46-55,19
INT002807,CX01327,2025-11-02,Website,Onboarding,Add-on Services,North America,3.4,0.06,Resolved,0,3.4,Positive,55+,1
INT002808,CX00448,2025-06-09,In-Store,Support,Pro Plan,North America,3.58,0.21,Escalated,1,1.7,Neutral,46-55,60
INT002809,CX02429,2025-12-23,Website,Support,Add-on Services,Latin America,4.38,0.17,Escalated,1,2.9,Positive,36-45,35
INT002810,CX00153,2025-08-09,Live Chat,Complaint,Add-on Services,North America,1.84,0.21,Escalated,0,2.8,Neutral,26-35,59
INT002811,CX04251,2025-09-27,Mobile App,Renewal,Enterprise Plan,North America,3.68,0.05,Resolved,1,3.1,Negative,18-25,32
INT002812,CX01430,2026-02-06,Website,Complaint,Add-on Services,Asia Pacific,1.65,0.08,Resolved,1,5.0,Neutral,36-45,14
INT002813,CX02992,2025-06-14,Email,Onboarding,Add-on Services,Europe,4.43,4.63,Pending,1,4.1,Neutral,36-45,2
INT002814,CX03742,2026-03-18,Phone,Complaint,Enterprise Plan,Europe,1.55,0.31,Pending,0,2.7,Positive,46-55,45
INT002815,CX03372,2025-12-13,Live Chat,Feedback,Basic Plan,Asia Pacific,2.79,0.28,Pending,1,3.9,Positive,46-55,9
INT002816,CX00281,2025-12-19,Live Chat,Support,Basic Plan,Asia Pacific,3.16,0.24,Resolved,1,1.4,Positive,18-25,23
INT002817,CX02080,2025-10-23,Email,Complaint,Add-on Services,North America,2.01,4.93,Resolved,1,3.4,Positive,55+,10
INT002818,CX04813,2025-11-14,Email,Support,Pro Plan,Asia Pacific,4.21,4.97,Escalated,1,4.6,Positive,55+,2
INT002819,CX04000,2025-06-18,Email,Renewal,Enterprise Plan,Europe,3.05,3.29,Pending,0,4.1,Neutral,36-45,50
INT002820,CX04498,2025-11-23,Live Chat,Complaint,Enterprise Plan,North America,2.55,0.22,Resolved,1,4.9,Positive,36-45,21
INT002821,CX01864,2025-11-17,Live Chat,Support,Enterprise Plan,Asia Pacific,3.17,0.23,Pending,1,3.0,Positive,26-35,52
INT002822,CX03309,2026-04-06,Phone,Complaint,Enterprise Plan,Latin America,1.76,0.12,Resolved,1,3.7,Positive,36-45,41
INT002823,CX03497,2025-06-04,Phone,Complaint,Enterprise Plan,North America,2.08,0.43,Escalated,0,2.8,Positive,36-45,59
INT002824,CX00788,2025-12-10,Mobile App,Complaint,Enterprise Plan,North America,3.35,0.2,Escalated,1,1.2,Positive,46-55,23
INT002825,CX03741,2026-05-03,In-Store,Support,Pro Plan,North America,2.68,0.17,Resolved,1,3.5,Positive,26-35,52
INT002826,CX01917,2026-05-30,Live Chat,Renewal,Add-on Services,North America,3.99,0.22,Resolved,1,2.4,Positive,18-25,47
INT002827,CX04791,2025-12-18,Mobile App,Onboarding,Add-on Services,Asia Pacific,4.21,0.07,Resolved,0,2.5,Neutral,46-55,56
INT002828,CX03137,2025-08-30,Phone,Purchase,Pro Plan,Europe,3.94,0.45,Escalated,0,3.2,Negative,18-25,12
INT002829,CX00094,2025-08-28,In-Store,Purchase,Add-on Services,Latin America,3.99,0.45,Escalated,1,4.9,Positive,46-55,51
INT002830,CX04895,2025-09-28,Mobile App,Onboarding,Basic Plan,Europe,3.83,0.09,Escalated,1,4.0,Positive,26-35,26
INT002831,CX02061,2025-10-13,Live Chat,Onboarding,Add-on Services,Asia Pacific,3.1,0.21,Pending,0,3.1,Neutral,26-35,60
INT002832,CX01447,2025-12-27,Live Chat,Purchase,Basic Plan,North America,4.94,0.3,Resolved,0,4.5,Positive,36-45,52
INT002833,CX00428,2025-07-30,In-Store,Feedback,Enterprise Plan,Europe,3.1,0.96,Escalated,0,4.3,Negative,46-55,16
INT002834,CX02306,2026-05-28,Website,Complaint,Basic Plan,Europe,2.19,0.19,Resolved,1,3.7,Negative,26-35,4
INT002835,CX01891,2026-05-05,Live Chat,Support,Basic Plan,Latin America,4.36,0.14,Resolved,1,4.4,Negative,36-45,47
INT002836,CX02693,2025-06-16,Email,Complaint,Basic Plan,Europe,3.11,1.22,Resolved,1,2.1,Positive,55+,36
INT002837,CX04723,2026-01-07,Phone,Feedback,Pro Plan,Asia Pacific,3.97,0.43,Pending,1,1.5,Positive,46-55,7
INT002838,CX04673,2026-05-09,Email,Complaint,Add-on Services,Asia Pacific,1.68,4.87,Resolved,1,1.7,Neutral,55+,10
INT002839,CX04917,2025-06-25,Website,Support,Basic Plan,North America,3.17,0.07,Escalated,1,2.4,Positive,46-55,53
INT002840,CX04701,2026-05-28,Email,Renewal,Add-on Services,Asia Pacific,3.08,4.04,Resolved,1,2.8,Positive,26-35,54
INT002841,CX02894,2026-03-05,In-Store,Complaint,Pro Plan,Asia Pacific,1.71,0.78,Pending,1,3.8,Positive,36-45,39
INT002842,CX04372,2025-09-28,Live Chat,Support,Enterprise Plan,North America,3.88,0.26,Resolved,1,1.1,Positive,36-45,40
INT002843,CX02286,2026-02-15,In-Store,Renewal,Basic Plan,Europe,3.55,0.28,Pending,0,4.3,Positive,36-45,13
INT002844,CX02271,2026-03-24,Website,Support,Pro Plan,Latin America,4.22,0.08,Escalated,1,2.3,Neutral,55+,15
INT002845,CX01642,2026-01-20,In-Store,Onboarding,Add-on Services,North America,4.18,0.65,Pending,0,4.9,Negative,26-35,45
INT002846,CX01497,2025-11-27,Mobile App,Complaint,Enterprise Plan,Asia Pacific,1.56,0.15,Resolved,1,4.8,Positive,55+,46
INT002847,CX03010,2025-11-03,Phone,Purchase,Basic Plan,Latin America,4.95,0.39,Pending,1,2.4,Negative,55+,42
INT002848,CX03414,2026-03-11,Phone,Renewal,Basic Plan,Europe,3.41,0.42,Escalated,1,2.9,Neutral,36-45,15
INT002849,CX02837,2025-09-14,Live Chat,Renewal,Enterprise Plan,North America,3.94,0.17,Resolved,0,4.4,Negative,36-45,25
INT002850,CX01733,2026-05-08,Website,Complaint,Enterprise Plan,Asia Pacific,1.92,0.07,Resolved,1,1.9,Positive,26-35,25
INT002851,CX02882,2025-12-09,Phone,Onboarding,Pro Plan,Latin America,4.49,0.2,Resolved,1,1.4,Positive,18-25,26
INT002852,CX01086,2026-01-09,Mobile App,Feedback,Enterprise Plan,North America,3.61,0.11,Resolved,0,2.0,Neutral,26-35,24
INT002853,CX01287,2026-05-18,In-Store,Support,Pro Plan,Europe,2.58,0.49,Escalated,1,4.0,Positive,26-35,45
INT002854,CX00841,2026-02-11,Mobile App,Renewal,Enterprise Plan,Europe,3.66,0.17,Resolved,1,1.8,Positive,36-45,18
INT002855,CX01117,2025-10-17,Live Chat,Support,Add-on Services,Europe,4.4,0.17,Resolved,1,2.9,Neutral,55+,33
INT002856,CX02078,2025-11-17,Website,Purchase,Pro Plan,Latin America,4.44,0.06,Resolved,1,3.2,Positive,55+,37
INT002857,CX04969,2025-11-18,In-Store,Onboarding,Enterprise Plan,North America,3.2,0.55,Pending,0,2.9,Positive,18-25,46
INT002858,CX00471,2025-10-16,Email,Purchase,Add-on Services,Europe,4.61,3.51,Resolved,1,1.4,Positive,26-35,5
INT002859,CX02114,2025-09-11,In-Store,Renewal,Add-on Services,Europe,3.04,0.24,Escalated,0,1.2,Positive,55+,22
INT002860,CX02065,2025-12-01,Mobile App,Complaint,Add-on Services,Latin America,1.79,0.12,Escalated,0,3.8,Negative,46-55,12
INT002861,CX03626,2026-03-22,Mobile App,Complaint,Add-on Services,Asia Pacific,2.3,0.16,Resolved,1,1.1,Positive,36-45,15
INT002862,CX03272,2025-12-27,Phone,Feedback,Pro Plan,Latin America,4.43,0.14,Escalated,1,3.0,Positive,26-35,1
INT002863,CX03715,2026-01-26,Website,Renewal,Pro Plan,North America,4.27,0.1,Pending,0,2.8,Negative,18-25,9
INT002864,CX03719,2026-03-11,Mobile App,Renewal,Enterprise Plan,Latin America,4.19,0.06,Pending,1,2.8,Positive,55+,9
INT002865,CX01315,2026-05-01,Email,Support,Enterprise Plan,North America,4.25,2.5,Resolved,1,3.7,Positive,46-55,41
INT002866,CX03350,2025-10-15,Email,Renewal,Add-on Services,Latin America,3.3,1.37,Escalated,1,3.8,Neutral,55+,48
INT002867,CX02561,2026-03-13,Live Chat,Feedback,Add-on Services,North America,3.43,0.23,Resolved,1,3.9,Positive,36-45,51
INT002868,CX00748,2026-05-12,Live Chat,Onboarding,Pro Plan,Latin America,3.1,0.17,Resolved,1,3.8,Neutral,46-55,2
INT002869,CX02712,2025-08-09,Phone,Onboarding,Basic Plan,Europe,4.51,0.14,Pending,1,4.5,Negative,46-55,37
INT002870,CX02793,2026-03-28,Email,Complaint,Enterprise Plan,North America,2.28,1.37,Resolved,1,2.7,Neutral,26-35,38
INT002871,CX03688,2025-06-12,In-Store,Onboarding,Basic Plan,Latin America,4.69,0.66,Resolved,0,1.6,Positive,55+,25
INT002872,CX01938,2025-06-26,Live Chat,Renewal,Enterprise Plan,Europe,3.97,0.24,Resolved,1,1.4,Positive,46-55,35
INT002873,CX02414,2026-01-22,Email,Complaint,Pro Plan,Europe,3.44,3.37,Resolved,0,4.2,Positive,46-55,26
INT002874,CX01442,2026-02-18,Mobile App,Complaint,Add-on Services,Europe,2.97,0.09,Escalated,0,2.5,Negative,55+,14
INT002875,CX03919,2025-06-21,Phone,Onboarding,Pro Plan,Asia Pacific,4.91,0.21,Resolved,1,3.9,Negative,46-55,22
INT002876,CX03982,2025-12-31,Live Chat,Renewal,Pro Plan,Latin America,3.71,0.15,Pending,1,3.1,Positive,46-55,41
INT002877,CX00043,2025-12-30,Email,Purchase,Add-on Services,Europe,3.58,2.94,Pending,1,2.2,Positive,36-45,54
INT002878,CX04610,2025-12-10,In-Store,Onboarding,Add-on Services,Europe,4.18,0.76,Pending,1,2.4,Neutral,26-35,44
INT002879,CX02136,2025-10-20,Mobile App,Support,Pro Plan,Asia Pacific,3.3,0.09,Escalated,1,4.6,Positive,55+,57
INT002880,CX03360,2025-07-29,Mobile App,Feedback,Enterprise Plan,Europe,4.3,0.1,Resolved,1,4.9,Positive,26-35,42
INT002881,CX04860,2025-07-08,Live Chat,Purchase,Pro Plan,Latin America,3.56,0.17,Resolved,1,2.2,Negative,26-35,42
INT002882,CX00643,2025-06-06,Email,Complaint,Basic Plan,Europe,3.31,1.41,Resolved,1,2.6,Neutral,46-55,48
INT002883,CX00195,2025-08-13,Live Chat,Support,Enterprise Plan,Asia Pacific,2.68,0.27,Escalated,1,1.8,Positive,55+,10
INT002884,CX00487,2026-03-28,In-Store,Support,Enterprise Plan,Latin America,4.18,0.41,Pending,1,4.4,Positive,55+,55
INT002885,CX02376,2025-09-30,Mobile App,Complaint,Add-on Services,North America,2.35,0.14,Resolved,1,3.9,Positive,46-55,35
INT002886,CX03362,2025-11-13,In-Store,Renewal,Pro Plan,Europe,4.04,0.67,Resolved,1,2.6,Neutral,55+,49
INT002887,CX04214,2025-11-19,Mobile App,Purchase,Basic Plan,North America,4.28,0.2,Pending,1,4.5,Positive,26-35,10
INT002888,CX04516,2025-09-07,Live Chat,Complaint,Basic Plan,Europe,2.64,0.2,Resolved,1,2.9,Neutral,36-45,50
INT002889,CX01994,2025-10-21,Website,Support,Pro Plan,North America,4.48,0.07,Resolved,1,2.9,Positive,18-25,52
INT002890,CX02103,2026-02-27,Live Chat,Feedback,Basic Plan,Latin America,3.92,0.12,Resolved,0,1.8,Positive,26-35,24
INT002891,CX04967,2026-02-24,Live Chat,Support,Basic Plan,Latin America,3.98,0.17,Resolved,0,1.1,Positive,55+,14
INT002892,CX02327,2026-01-13,In-Store,Complaint,Pro Plan,North America,2.05,0.57,Resolved,1,4.2,Neutral,18-25,14
INT002893,CX04281,2026-04-17,In-Store,Feedback,Pro Plan,Latin America,3.51,0.45,Resolved,1,4.5,Neutral,18-25,36
INT002894,CX04253,2026-04-11,Phone,Feedback,Pro Plan,North America,4.08,0.3,Escalated,1,2.9,Positive,46-55,21
INT002895,CX03772,2025-08-06,Website,Onboarding,Add-on Services,Europe,3.85,0.18,Resolved,1,1.7,Neutral,18-25,2
INT002896,CX04216,2025-07-18,Mobile App,Purchase,Pro Plan,North America,3.72,0.14,Resolved,0,2.1,Positive,18-25,37
INT002897,CX03493,2026-03-27,Website,Feedback,Enterprise Plan,Latin America,3.75,0.15,Resolved,1,4.3,Negative,36-45,9
INT002898,CX01020,2026-03-31,Live Chat,Onboarding,Basic Plan,Europe,3.64,0.2,Escalated,1,1.3,Positive,46-55,2
INT002899,CX01381,2026-01-27,In-Store,Onboarding,Basic Plan,Asia Pacific,4.86,0.33,Escalated,1,1.6,Negative,18-25,13
INT002900,CX01317,2025-12-31,In-Store,Feedback,Enterprise Plan,Europe,3.53,0.35,Resolved,1,1.6,Neutral,18-25,38
INT002901,CX04183,2026-04-20,Live Chat,Support,Pro Plan,North America,4.37,0.24,Resolved,1,3.8,Neutral,36-45,21
INT002902,CX01699,2025-09-20,Mobile App,Purchase,Basic Plan,Asia Pacific,4.46,0.2,Resolved,0,2.9,Neutral,18-25,55
INT002903,CX04504,2025-12-06,Phone,Complaint,Pro Plan,Asia Pacific,2.82,0.39,Escalated,1,2.9,Neutral,36-45,4
INT002904,CX04994,2026-04-26,Website,Onboarding,Enterprise Plan,North America,3.79,0.09,Resolved,0,4.5,Neutral,55+,13
INT002905,CX03100,2026-04-24,Website,Feedback,Basic Plan,North America,3.32,0.15,Escalated,1,2.8,Negative,46-55,31
INT002906,CX00158,2025-06-17,Mobile App,Renewal,Basic Plan,Asia Pacific,4.35,0.12,Pending,0,3.5,Positive,36-45,26
INT002907,CX02887,2025-11-02,In-Store,Feedback,Enterprise Plan,Latin America,4.02,0.19,Escalated,1,3.1,Neutral,18-25,53
INT002908,CX04331,2026-04-12,Live Chat,Onboarding,Add-on Services,Latin America,4.68,0.26,Escalated,1,2.9,Neutral,18-25,7
INT002909,CX01102,2025-07-18,Phone,Onboarding,Add-on Services,Europe,4.26,0.46,Escalated,1,3.1,Neutral,18-25,54
INT002910,CX00255,2025-10-22,In-Store,Renewal,Enterprise Plan,Asia Pacific,4.38,0.29,Resolved,0,4.6,Positive,46-55,31
INT002911,CX02719,2025-11-06,In-Store,Purchase,Basic Plan,Latin America,3.89,0.64,Resolved,1,2.6,Negative,18-25,48
INT002912,CX00713,2025-07-11,Email,Support,Add-on Services,North America,2.93,1.96,Escalated,1,1.7,Positive,46-55,52
INT002913,CX02104,2025-08-09,Live Chat,Support,Enterprise Plan,North America,4.07,0.15,Pending,1,2.2,Neutral,36-45,57
INT002914,CX03488,2025-11-19,Email,Feedback,Basic Plan,Latin America,4.31,2.25,Resolved,1,1.5,Negative,46-55,33
INT002915,CX04945,2025-09-14,Mobile App,Renewal,Add-on Services,North America,3.31,0.07,Escalated,1,2.6,Positive,26-35,58
INT002916,CX00217,2025-12-17,Live Chat,Renewal,Enterprise Plan,North America,3.96,0.28,Escalated,1,3.9,Neutral,46-55,15
INT002917,CX04737,2026-04-23,Phone,Renewal,Add-on Services,Europe,4.26,0.39,Resolved,1,3.6,Positive,36-45,36
INT002918,CX03569,2026-02-20,Website,Complaint,Enterprise Plan,North America,2.74,0.16,Escalated,1,4.7,Negative,55+,52
INT002919,CX00378,2026-04-18,Mobile App,Purchase,Basic Plan,Asia Pacific,3.81,0.09,Resolved,0,2.8,Positive,26-35,44
INT002920,CX04466,2025-09-15,Website,Onboarding,Pro Plan,Asia Pacific,4.47,0.17,Escalated,0,2.4,Positive,46-55,35
INT002921,CX02701,2025-12-13,Website,Complaint,Add-on Services,Latin America,1.93,0.16,Resolved,0,4.3,Negative,26-35,23
INT002922,CX00814,2025-07-03,Phone,Onboarding,Basic Plan,North America,3.51,0.1,Resolved,1,4.5,Positive,46-55,31
INT002923,CX00550,2026-03-25,Email,Renewal,Add-on Services,Latin America,3.12,4.16,Resolved,0,2.8,Positive,26-35,53
INT002924,CX03001,2025-11-26,Website,Onboarding,Basic Plan,Latin America,3.06,0.07,Resolved,1,4.7,Positive,26-35,7
INT002925,CX02223,2025-12-29,In-Store,Purchase,Add-on Services,North America,3.74,0.72,Escalated,1,2.2,Positive,46-55,43
INT002926,CX01468,2026-02-14,Phone,Support,Pro Plan,North America,3.6,0.13,Resolved,1,2.2,Negative,18-25,14
INT002927,CX00918,2025-07-08,Phone,Renewal,Pro Plan,Asia Pacific,3.58,0.35,Pending,1,2.2,Negative,46-55,58
INT002928,CX02980,2025-11-21,Website,Feedback,Basic Plan,Europe,2.99,0.19,Resolved,0,4.1,Positive,18-25,9
INT002929,CX00887,2026-04-26,Website,Support,Basic Plan,North America,3.46,0.15,Pending,1,4.4,Neutral,26-35,42
INT002930,CX03964,2025-09-09,Email,Renewal,Pro Plan,Latin America,3.4,4.65,Pending,0,3.7,Neutral,36-45,49
INT002931,CX02485,2026-03-09,In-Store,Purchase,Pro Plan,Asia Pacific,4.45,0.24,Resolved,1,1.8,Positive,18-25,31
INT002932,CX00198,2025-11-22,Phone,Purchase,Add-on Services,Latin America,3.52,0.39,Resolved,0,4.3,Neutral,55+,38
INT002933,CX02541,2026-02-17,Mobile App,Complaint,Pro Plan,Asia Pacific,2.16,0.14,Resolved,1,3.6,Positive,26-35,53
INT002934,CX02370,2026-05-28,Website,Renewal,Basic Plan,Asia Pacific,4.45,0.13,Pending,1,3.8,Neutral,36-45,58
INT002935,CX03598,2026-02-16,Live Chat,Complaint,Add-on Services,Asia Pacific,3.12,0.23,Escalated,1,2.5,Positive,36-45,19
INT002936,CX00723,2025-10-14,Mobile App,Onboarding,Enterprise Plan,North America,4.73,0.05,Escalated,1,1.2,Positive,36-45,59
INT002937,CX03182,2026-05-20,Website,Renewal,Pro Plan,Europe,4.02,0.19,Resolved,1,1.8,Positive,55+,50
INT002938,CX02198,2025-10-04,Phone,Renewal,Enterprise Plan,Asia Pacific,3.06,0.21,Resolved,1,1.4,Negative,18-25,45
INT002939,CX02886,2025-12-08,Website,Feedback,Add-on Services,North America,4.41,0.17,Resolved,1,2.4,Positive,36-45,58
INT002940,CX02075,2026-03-30,Phone,Purchase,Basic Plan,Latin America,4.63,0.42,Escalated,1,3.6,Negative,26-35,53
INT002941,CX04407,2025-09-22,Phone,Purchase,Enterprise Plan,Latin America,4.28,0.27,Resolved,1,2.8,Positive,18-25,8
INT002942,CX01472,2025-07-09,Live Chat,Purchase,Basic Plan,Latin America,4.58,0.18,Escalated,0,4.1,Negative,36-45,38
INT002943,CX00092,2026-03-22,Email,Complaint,Enterprise Plan,Asia Pacific,3.2,2.49,Pending,0,4.7,Neutral,36-45,18
INT002944,CX00499,2025-09-29,In-Store,Feedback,Enterprise Plan,Europe,4.89,0.84,Escalated,0,5.0,Negative,18-25,32
INT002945,CX00402,2026-05-20,Phone,Complaint,Pro Plan,Asia Pacific,3.39,0.14,Escalated,1,2.5,Positive,46-55,28
INT002946,CX00120,2026-05-25,Phone,Feedback,Pro Plan,North America,3.62,0.16,Pending,0,3.5,Neutral,46-55,18
INT002947,CX03307,2025-11-13,In-Store,Support,Pro Plan,Europe,4.37,0.77,Escalated,1,3.6,Positive,55+,6
INT002948,CX01420,2025-06-04,Phone,Feedback,Basic Plan,Asia Pacific,4.87,0.46,Resolved,0,3.0,Neutral,26-35,32
INT002949,CX01921,2026-03-27,In-Store,Support,Enterprise Plan,Europe,4.41,0.31,Resolved,1,1.2,Negative,18-25,26
INT002950,CX04997,2026-05-27,In-Store,Feedback,Basic Plan,Asia Pacific,3.13,0.27,Escalated,0,1.3,Positive,26-35,47
INT002951,CX02943,2025-06-19,Phone,Complaint,Enterprise Plan,Europe,3.4,0.11,Resolved,1,2.1,Positive,46-55,18
INT002952,CX02918,2025-08-02,In-Store,Complaint,Add-on Services,North America,1.51,0.99,Resolved,1,1.9,Positive,36-45,10
INT002953,CX00927,2026-03-10,Phone,Complaint,Enterprise Plan,North America,1.88,0.45,Pending,1,3.5,Negative,55+,2
INT002954,CX00200,2025-12-15,Live Chat,Onboarding,Pro Plan,North America,3.81,0.11,Resolved,1,1.4,Neutral,36-45,3
INT002955,CX04497,2025-10-18,Live Chat,Onboarding,Add-on Services,Asia Pacific,4.8,0.26,Pending,0,1.7,Positive,36-45,22
INT002956,CX00923,2026-04-24,Live Chat,Complaint,Enterprise Plan,Europe,3.33,0.2,Resolved,0,1.7,Positive,36-45,29
INT002957,CX04390,2025-09-25,Live Chat,Feedback,Enterprise Plan,Europe,4.85,0.22,Resolved,1,2.0,Positive,26-35,20
INT002958,CX01830,2025-06-29,Website,Renewal,Basic Plan,Europe,3.31,0.17,Resolved,1,1.7,Neutral,46-55,50
INT002959,CX00938,2025-07-24,Live Chat,Feedback,Basic Plan,Europe,4.37,0.23,Resolved,1,1.9,Positive,46-55,51
INT002960,CX03661,2026-02-08,Mobile App,Onboarding,Enterprise Plan,North America,3.71,0.08,Resolved,1,2.1,Positive,26-35,26
INT002961,CX01131,2025-09-12,Phone,Feedback,Add-on Services,Asia Pacific,4.58,0.21,Resolved,1,2.0,Neutral,36-45,23
INT002962,CX02658,2025-06-01,Website,Complaint,Pro Plan,Asia Pacific,2.53,0.15,Escalated,0,4.9,Negative,18-25,56
INT002963,CX00579,2026-01-13,Mobile App,Purchase,Basic Plan,Latin America,4.91,0.05,Resolved,1,3.9,Positive,55+,23
INT002964,CX01333,2026-03-03,Website,Feedback,Pro Plan,Latin America,3.26,0.07,Escalated,0,2.6,Positive,55+,60
INT002965,CX03402,2026-01-05,Live Chat,Complaint,Add-on Services,North America,2.54,0.16,Resolved,0,1.3,Positive,18-25,2
INT002966,CX02374,2025-11-08,Website,Support,Enterprise Plan,Latin America,2.63,0.09,Resolved,1,4.3,Positive,18-25,5
INT002967,CX03143,2025-08-19,Email,Support,Add-on Services,Asia Pacific,2.62,2.48,Resolved,1,3.7,Positive,55+,28
INT002968,CX03038,2026-03-21,Phone,Support,Add-on Services,Latin America,3.91,0.23,Resolved,0,1.3,Positive,18-25,17
INT002969,CX01350,2025-12-30,Phone,Renewal,Basic Plan,Europe,3.55,0.2,Resolved,1,2.9,Negative,18-25,56
INT002970,CX01285,2025-06-02,In-Store,Feedback,Enterprise Plan,Asia Pacific,2.74,0.62,Resolved,1,3.4,Neutral,18-25,33
INT002971,CX03956,2025-10-17,Live Chat,Renewal,Add-on Services,North America,3.18,0.15,Resolved,0,2.6,Positive,26-35,20
INT002972,CX04504,2026-02-04,Website,Purchase,Pro Plan,Asia Pacific,4.4,0.19,Resolved,1,3.1,Positive,36-45,4
INT002973,CX00411,2026-05-12,Website,Purchase,Pro Plan,Asia Pacific,3.9,0.2,Escalated,1,4.0,Positive,18-25,34
INT002974,CX00286,2025-08-22,Phone,Renewal,Enterprise Plan,Asia Pacific,3.17,0.46,Pending,0,4.5,Positive,26-35,19
INT002975,CX03511,2025-06-07,Website,Support,Pro Plan,Asia Pacific,2.67,0.11,Resolved,1,2.5,Neutral,55+,40
